url,round,home_team,away_team,goals_home_final,goals_away_final,final_result,goals_home_1half,goals_away_1half,1half_result,ball_possessionhome,ball_possessionaway,goal_attemptshome,goal_attemptsaway,shots_on_goalhome,shots_on_goalaway,shots_off_goalhome,shots_off_goalaway,blocked_shotshome,blocked_shotsaway,free_kickshome,free_kicksaway,corner_kickshome,corner_kicksaway,offsideshome,offsidesaway,goalkeeper_saveshome,goalkeeper_savesaway,foulshome,foulsaway,yellow_cardshome,yellow_cardsaway,total_passeshome,total_passesaway,tackleshome,tacklesaway,attackshome,attacksaway,dangerous_attackshome,dangerous_attacksaway,red_cardshome,red_cardsaway,completed_passeshome,completed_passesaway,throw_inshome,throw_insaway
https://www.scoreboard.com/game/OfcOQVrA/#match-summary,11,Freiburg,Eintracht Frankfurt,1,0,Home,0,0,Draw,46,54,7,6,4,2,1,3,2,1,9,4,4,3,2,1,2,4,2,9,0.0,2.0,167.0,197.0,7.0,8.0,48,64,18,20,0.0,1.0,,,,
https://www.scoreboard.com/game/Srna72an/#match-summary,24,Mainz,Paderborn,2,0,Home,2,0,Home,46,54,3,4,2,1,0,3,1,0,8,5,2,4,1,0,1,0,3,8,1.0,1.0,146.0,173.0,13.0,21.0,67,39,24,26,,,,,,
https://www.scoreboard.com/game/pp2tjnCL/#match-summary,13,FC Koln,Augsburg,1,1,Draw,0,1,Away,54,46,4,8,1,2,3,5,0,1,15,10,1,3,0,0,1,1,11,15,5.0,3.0,208.0,168.0,2.0,4.0,45,49,21,21,1.0,1.0,,,,
https://www.scoreboard.com/game/OGYbw9SF/#match-summary,12,RB Leipzig,FC Koln,4,1,Home,3,1,Home,73,27,11,2,5,1,5,1,1,0,9,7,6,1,2,5,0,2,5,5,,,415.0,153.0,5.0,3.0,98,22,35,11,,,,,,
https://www.scoreboard.com/game/ppQfupGg/#match-summary,22,Paderborn,Hertha Berlin,1,2,Away,0,1,Away,48,52,6,6,1,1,2,1,3,4,7,11,2,7,2,0,0,1,9,6,,,209.0,222.0,5.0,8.0,55,58,32,23,,,,,,
https://www.scoreboard.com/game/8tSJ35tL/#match-summary,14,Freiburg,Wolfsburg,1,0,Home,0,0,Draw,48,52,2,3,1,0,1,2,0,1,12,7,2,2,0,0,0,1,7,12,0.0,1.0,190.0,206.0,5.0,7.0,49,65,20,19,,,,,,
https://www.scoreboard.com/game/vXl7znBr/#match-summary,6,RB Leipzig,Schalke,1,3,Away,0,2,Away,63,37,6,6,2,4,4,2,0,0,6,9,4,1,0,0,2,2,10,4,1.0,0.0,315.0,190.0,7.0,7.0,69,58,22,10,,,250.0,124.0,,
https://www.scoreboard.com/game/bB6bdNYf/#match-summary,15,Bayern Munich,Werder Bremen,6,1,Home,2,1,Home,69,31,13,6,5,1,4,4,4,1,9,7,3,1,0,1,0,3,5,8,2.0,1.0,350.0,125.0,8.0,10.0,100,28,29,9,,,,,,
https://www.scoreboard.com/game/AZspQbha/#match-summary,10,Werder Bremen,Freiburg,2,2,Draw,1,1,Draw,46,54,6,6,3,1,1,5,2,0,5,8,2,0,0,2,0,2,8,3,,,230.0,263.0,9.0,7.0,43,56,11,17,,,185.0,227.0,,
https://www.scoreboard.com/game/fsSZhfR9/#match-summary,5,Bayern Munich,FC Koln,4,0,Home,1,0,Home,64,36,11,6,1,1,5,3,5,2,14,9,6,2,2,1,1,0,7,13,1.0,0.0,307.0,165.0,7.0,5.0,56,54,18,21,,,260.0,125.0,,
https://www.scoreboard.com/game/UFlTaHdp/#match-summary,18,Schalke,B. Monchengladbach,2,0,Home,0,0,Draw,52,48,9,7,4,3,4,1,1,3,8,6,5,7,0,0,3,4,6,8,1.0,1.0,176.0,162.0,9.0,8.0,59,58,33,19,,,,,,
https://www.scoreboard.com/game/fNBEBEed/#match-summary,19,Union Berlin,Augsburg,2,0,Home,0,0,Draw,55,45,6,8,1,2,2,4,3,2,4,13,3,1,2,1,2,1,10,4,0.0,1.0,218.0,178.0,6.0,5.0,77,49,14,13,,,,,,
https://www.scoreboard.com/game/EqjyOTSS/#match-summary,11,Paderborn,Augsburg,0,1,Away,0,1,Away,60,40,4,6,1,2,2,2,1,2,7,9,2,2,0,3,1,1,9,5,,,254.0,169.0,9.0,10.0,47,53,18,17,,,,,,
https://www.scoreboard.com/game/bTaUhlS2/#match-summary,13,Hertha Berlin,Dortmund,1,2,Away,1,2,Away,34,66,7,5,2,4,4,0,1,1,7,8,1,1,0,1,2,1,8,7,2.0,2.0,184.0,375.0,12.0,4.0,49,72,13,19,0.0,1.0,,,,
https://www.scoreboard.com/game/dIj36MEh/#match-summary,24,Augsburg,B. Monchengladbach,2,3,Away,0,0,Draw,43,57,1,6,0,3,1,2,0,1,3,8,3,1,1,0,3,0,6,4,2.0,1.0,195.0,256.0,7.0,9.0,36,48,18,21,,,,,,
https://www.scoreboard.com/game/feBCS6Wm/#match-summary,21,Bayer Leverkusen,Dortmund,4,3,Home,2,2,Draw,54,46,4,6,3,4,0,2,1,0,7,5,2,2,1,1,2,1,4,5,1.0,1.0,289.0,238.0,14.0,9.0,48,76,17,16,,,,,,
https://www.scoreboard.com/game/IsOEgRHK/#match-summary,6,Dortmund,Werder Bremen,2,2,Draw,2,1,Home,68,32,11,4,4,3,3,1,4,0,6,2,3,0,0,1,2,2,2,5,,,459.0,165.0,4.0,9.0,109,29,42,11,,,431.0,132.0,,
https://www.scoreboard.com/game/StZ0XeIF/#match-summary,20,Hertha Berlin,Schalke,0,0,Draw,0,0,Draw,43,57,2,5,0,3,2,1,0,1,6,4,1,1,0,2,3,0,4,3,,,198.0,281.0,7.0,9.0,56,69,17,22,,,,,,
https://www.scoreboard.com/game/pUP6emm8/#match-summary,6,Paderborn,Bayern Munich,2,3,Away,0,1,Away,37,63,3,10,1,2,0,6,2,2,5,5,5,3,2,0,1,1,4,5,0.0,1.0,176.0,300.0,6.0,4.0,49,49,28,27,,,136.0,255.0,,
https://www.scoreboard.com/game/xveCTXbi/#match-summary,11,B. Monchengladbach,Werder Bremen,3,1,Home,2,0,Home,58,42,8,7,2,3,3,3,3,1,10,12,1,1,3,0,3,0,9,9,2.0,1.0,236.0,170.0,10.0,5.0,65,51,27,6,,,,,,
https://www.scoreboard.com/game/2PWZId3M/#match-summary,19,Wolfsburg,Hertha Berlin,1,2,Away,0,0,Draw,54,46,10,3,3,0,5,2,2,1,5,7,3,2,1,1,0,3,5,4,0.0,1.0,259.0,217.0,12.0,16.0,72,55,37,16,,,,,,
https://www.scoreboard.com/game/j5XE4oRE/#match-summary,14,Dortmund,Dusseldorf,5,0,Home,1,0,Home,74,26,11,1,3,0,6,1,2,0,7,6,3,0,1,1,0,2,5,6,0.0,2.0,459.0,170.0,8.0,7.0,91,30,55,7,,,,,,
https://www.scoreboard.com/game/Ao0TgqVn/#match-summary,23,Bayern Munich,Paderborn,3,2,Home,1,1,Draw,71,29,8,1,3,1,2,0,3,0,8,0,4,1,0,2,0,2,0,6,0.0,1.0,359.0,141.0,11.0,15.0,101,19,58,13,,,,,,
https://www.scoreboard.com/game/xbVEzMUO/#match-summary,23,B. Monchengladbach,Hoffenheim,1,1,Draw,1,0,Home,47,53,9,9,6,2,2,2,1,5,4,5,3,3,0,0,2,5,4,3,2.0,1.0,250.0,291.0,10.0,5.0,54,63,30,26,,,,,,
https://www.scoreboard.com/game/EwVdYy39/#match-summary,20,Hoffenheim,Bayer Leverkusen,2,1,Home,1,1,Draw,37,63,7,10,2,6,3,3,2,1,6,5,2,4,1,3,5,1,4,7,1.0,2.0,167.0,293.0,8.0,9.0,54,68,12,26,,,,,,
https://www.scoreboard.com/game/U7rG3KbB/#match-summary,24,RB Leipzig,Bayer Leverkusen,1,1,Draw,1,1,Draw,40,60,2,10,1,5,1,2,0,3,11,4,5,3,2,2,4,0,2,8,0.0,2.0,190.0,296.0,6.0,7.0,46,59,23,21,,,,,,
https://www.scoreboard.com/game/CvGJ9w8I/#match-summary,9,Schalke,Dortmund,0,0,Draw,0,0,Draw,48,52,3,2,0,2,3,0,0,0,3,8,5,1,3,0,2,0,4,2,1.0,1.0,88.0,118.0,5.0,4.0,69,47,35,12,,,62.0,91.0,,
