home_team,away_team,goals_home_final,goals_away_final,final_result,goals_home_1half,goals_away_1half,1half_result,ball_possessionhome,ball_possessionaway,goal_attemptshome,goal_attemptsaway,shots_on_goalhome,shots_on_goalaway,shots_off_goalhome,shots_off_goalaway,blocked_shotshome,blocked_shotsaway,free_kickshome,free_kicksaway,corner_kickshome,corner_kicksaway,offsideshome,offsidesaway,goalkeeper_saveshome,goalkeeper_savesaway,foulshome,foulsaway,yellow_cardshome,yellow_cardsaway,total_passeshome,total_passesaway,tackleshome,tacklesaway,attackshome,attacksaway,dangerous_attackshome,dangerous_attacksaway,red_cardshome,red_cardsaway,completed_passeshome,completed_passesaway
Bayern,Hoffenheim,1,2,-1,0,0,0,57,43,8,4,2,2,6,0,0,2,9,5,3,1,2,1,2,2,4,8,1.0,0.0,322.0,234.0,7.0,13.0,90,37,49,9,0.0,0.0,285.0,189.0
Freiburg,Dortmund,2,2,0,0,1,-1,32,68,3,5,0,2,3,3,0,0,7,7,0,9,1,4,1,0,6,5,0.0,1.0,149.0,388.0,7.0,6.0,48,82,8,26,0.0,0.0,104.0,343.0
Leverkusen,RB Leipzig,1,1,0,0,0,0,62,38,6,8,5,4,1,4,0,0,8,11,2,0,5,4,4,5,5,3,1.0,0.0,361.0,180.0,12.0,12.0,85,48,36,18,0.0,0.0,302.0,122.0
Paderborn,Mainz,1,2,-1,1,2,-1,64,36,6,11,1,5,4,3,1,3,13,4,1,3,1,1,3,0,4,12,0.0,2.0,313.0,153.0,8.0,7.0,56,58,14,24,0.0,0.0,268.0,110.0
FC Koln,Hertha,0,4,-1,0,1,-1,54,46,4,4,3,2,0,2,1,0,11,8,4,1,3,0,1,3,5,11,0.0,0.0,174.0,160.0,5.0,6.0,25,24,11,12,1.0,0.0,148.0,128.0
Dusseldorf,Freiburg,1,2,-1,1,1,0,52,48,4,3,3,1,0,1,1,1,2,5,3,0,1,0,0,2,4,1,1.0,1.0,268.0,259.0,8.0,8.0,47,63,27,13,0.0,0.0,235.0,227.0
Dortmund,Bremen,2,2,0,2,1,1,68,32,11,4,4,3,3,1,4,0,6,2,3,0,0,1,2,2,2,5,0.0,0.0,459.0,165.0,4.0,9.0,109,29,42,11,0.0,0.0,431.0,132.0
Augsburg,Leverkusen,0,3,-1,0,1,-1,18,82,1,4,0,2,1,1,0,1,5,8,0,2,0,0,1,0,9,5,2.0,0.0,102.0,465.0,0.0,2.0,39,77,7,22,0.0,0.0,58.0,410.0
Hoffenheim,Monchengladbach,0,3,-1,0,1,-1,47,53,7,4,3,2,3,2,1,0,7,5,1,4,1,0,1,3,4,5,0.0,1.0,242.0,260.0,7.0,8.0,58,60,15,27,0.0,0.0,192.0,207.0
Mainz,Wolfsburg,0,1,-1,0,1,-1,50,50,6,2,3,2,3,0,0,0,9,2,2,1,0,0,1,3,2,9,1.0,1.0,223.0,234.0,10.0,13.0,38,45,27,11,0.0,0.0,171.0,172.0
Paderborn,Bayern,2,3,-1,0,1,-1,37,63,3,10,1,2,0,6,2,2,5,5,5,3,2,0,1,1,4,5,0.0,1.0,176.0,300.0,6.0,4.0,49,49,28,27,0.0,0.0,136.0,255.0
RB Leipzig,Schalke,1,3,-1,0,2,-1,63,37,6,6,2,4,4,2,0,0,6,9,4,1,0,0,2,2,10,4,1.0,0.0,315.0,190.0,7.0,7.0,69,58,22,10,0.0,0.0,250.0,124.0
Wolfsburg,Hoffenheim,1,1,0,1,1,0,57,43,9,4,4,2,3,1,2,1,8,10,2,1,4,1,1,3,4,7,0.0,1.0,287.0,219.0,5.0,11.0,80,45,29,12,0.0,0.0,242.0,169.0
Frankfurt,Dortmund,2,2,0,1,1,0,35,65,6,4,2,3,2,0,2,1,7,8,2,3,0,0,2,1,8,7,0.0,1.0,184.0,330.0,12.0,10.0,50,53,18,18,0.0,0.0,131.0,284.0
